sn,Comments,Labels
1,"I was not able to use my card, made my patments when my credit rating was effected I phoned  ABC to find out what was going on turns they only needed updated information address  and such within a very short time the information was collected and I could use my new card again hope now my credit rating won't continue to be effected . Won't get my lost rating back  but pope its not effected any more","Account Maintenance & Closing ,Credit/Debit Card ,Policy "
2,"The rebate is a good thing for having a  ABC YYY Card.  However, the rule is really rigid.  
My recent call was to ask for waiving the interest charge for late payment.  I have given the following reasons:
1) I always pay on time and it was my first late payment.
2) The payment was on Oct 16 and the due date was on Oct 15, just one day late.
3) October 15, is my birthday and a lot of celebrations happened on the day, so I missed to pay on time.
The customer service said he could not do anything to waive the payment.  I asked for talking to his supervisor or manager.  He replied they are not available.  
I have another credit card with the same due date and I also pay one day after the due day.  They did not charge me any interest or late payment penalty.","Brand ,Customer Service ,Payments ,Policy ,Promotions and Benefits ,Terms ,Terms "
3,The person understood my problem.,"Representative ,Representative ,Representative "
4,"Generally not a long time waiting for an agent.  Spoke to gentlemen regarding my issue and he was very helpful.  He gave me another number to call to discuss my issue and I will get results.
I went on line to find a hotel room in St. Jacobs Ontario, pricing was good so I reserved a room for two adults.  I received an email from company advising me of my confirmation of date, location and cost.  I was also advised that I could call within 24 hours of date booked to cancel.  I the received an email from MC YYY to alert us of a pending charge of $177.66 an international charge.  I immediately went to my on line account and discovered that that there was a charge pending of $177.66 Canadian.  I called the company and I advised I wanted to cancel because I did not know that the charges would be iin US funds as I had reserved a room in Canada and was paying for the room with a Canadian Credit card number.  I wrote this complaint to the company.  Later that night I received a second email that the reservation is being cancelled and I am not sure if they are going to reverse the charges.  If the pending charges have been moved to my MC YYY account I am to call you folks to make sure this was done.  I was also not advised by the agent that it was a non-refunadable charge.  What kind of company operates with this kind of service.  I appreciate any assistance from you folks.  Thank You, Tom Tomkins","Account Communications ,Brand ,Fraud Alerts ,Fraud and Disputes ,Phone Experience ,Phone Experience ,Representative ,Representative ,Representative ,Representative "
5,"I received an e-mail from  ABC starting that I had been charged twice for a transaction but no details on when, why or by whom.  Obviously I was very anxious so called  Customer Service, the representative asked me my name, birthdate and card number, 3 digit code on my card etc etc to establish my identity and I had no problem with that, but she would not let me explain the reason for my call until she had asked me question after question about my employer, length of employment, address even though on file, cell number and insisted on sending me a text which I had to wait and reply too along with other multiple questions to update all my file even though I told her how do you think I receive payment postings and e-,mails to my phone unless you have already all this information.  She kept telling me we will get to your issue when  all this is updated.  Then after I obediantly as a child agreed to her many many questions let me explain my issue only to be told that she could not help me but would forward me to another agent, after a while waiting he answered me only to again start to ask me 101 same questions that I had just been asked.  He then put me on hold for so long that I hung up never resolving g .y issue, I was very frustrated and disappointed with  ABC Customer Service.  Therefore don't think I would rush out and recommend them to friends ds and family.  I understand the need for security but this was just over the top at a time when I had called for answers.","Customer Service ,Fraud and Disputes ,Issue Resolution ,Phone Experience ,Phone Experience ,Representative ,Representative ,Representative ,Representative "
6,I was happy with my service but I don't like to recommend services to others,Customer Service 
7,Based on my experience with your reliable service.,Customer Service 
8,I had no issue with ABC i just did not understand why i have to do a new credit check to switch to another ABC card so i closed my account.  If i have to run my credit i might as well research for the best card for me. Customer service has always been great.,"Account Maintenance & Closing ,Credit/Debit Card ,Customer Service "
9,"card was declined because cup didn't work on machine, swiped, and card was locked.","ATM ,Credit/Debit Card "
10,Were very helpful,Representative 
11,"The lady on the phone was amazingly helpful, also had people trying to hack my card and yous caught them right away , then they tried 3 more times that night but yous had already froze the card ( amazing) . Then she helped me cancel and get a new card .","Credit/Debit Card ,Credit/Debit Card ,Credit/Debit Card ,Data and ID Security ,Representative "
12,Helpful listened interested,Representative 
13,"IVR system is quite cumbersome, getting the right support agent is a pain.",Phone Experience 
14,Solid approach to solve the issue,"Issue Resolution ,Issue Resolution ,Representative "
15,A very kind and patient agent,"Representative ,Representative "
16,My answer was given very quickly without any problem,Issue Resolution 
17,I like the services and credit limit for my financial needs,Terms 
18,The issues in my account were resolved. Thank you.,"Issue Resolution ,Representative "
19,"Hire more people to answer clients calls , instead of waiting more than 15-20 min","Phone Experience ,Phone Experience "
20,I've been inconvenient about 4 times now. Service has been poor. Not planning to use the card other than YYY.,Customer Service 
21,Good service,Customer Service 
22,Very nice people but straight to the point answered all my questions with a lot of knowledge. And made my understanding simple for me to understand I thank you  ABC,"Representative ,Representative "
23,"The call experience was very pleasant and my issue was resolved, but I feel as though the issue should not have occurred in the first place.","Issue Resolution ,Issue Resolution ,Representative ,Representative "
